"","13","14","17","18","19","20","23","24"
"ENSRNOG00000000007",197,208,216,223,167,192,214,186
"ENSRNOG00000000008",8,5,4,2,4,2,0,4
"ENSRNOG00000000009",0,0,0,0,0,0,0,0
"ENSRNOG00000000010",7,4,4,5,2,7,7,1
"ENSRNOG00000000012",27,26,24,34,18,20,36,39
"ENSRNOG00000000017",1,2,0,0,0,1,3,1
"ENSRNOG00000000021",0,1,0,0,0,0,0,0
"ENSRNOG00000000024",58,47,67,51,52,46,64,39
"ENSRNOG00000000033",390,418,460,443,319,300,349,325
"ENSRNOG00000000034",5,5,11,7,6,4,13,4
"ENSRNOG00000000036",2,2,7,3,4,2,5,6
"ENSRNOG00000000040",2,4,0,5,3,4,1,3
"ENSRNOG00000000041",2,2,5,1,4,3,3,2
"ENSRNOG00000000042",7,0,2,3,1,3,3,2
"ENSRNOG00000000043",13,13,8,23,9,17,18,15
"ENSRNOG00000000044",35,54,54,69,48,53,36,47
"ENSRNOG00000000047",26,32,43,33,22,27,29,28
"ENSRNOG00000000048",214,188,245,240,180,179,185,135
"ENSRNOG00000000053",97,83,96,131,121,114,125,104
"ENSRNOG00000000054",401,417,501,517,419,441,482,406
"ENSRNOG00000000055",0,0,1,0,0,0,1,1
"ENSRNOG00000000060",554,615,624,719,450,447,517,508
"ENSRNOG00000000062",10,13,15,13,11,10,7,10
"ENSRNOG00000000064",1818,1735,1950,2152,1559,1769,1949,1597
"ENSRNOG00000000065",0,0,0,1,0,0,0,0
"ENSRNOG00000000066",6,4,15,9,7,7,8,6
"ENSRNOG00000000068",139,152,169,151,90,124,110,127
"ENSRNOG00000000073",17,16,9,11,10,11,16,10
"ENSRNOG00000000075",39,62,59,53,35,49,54,40
"ENSRNOG00000000081",2,3,4,1,1,1,2,0
"ENSRNOG00000000082",76,82,48,78,55,68,72,50
"ENSRNOG00000000091",16,18,13,10,11,15,13,11
"ENSRNOG00000000095",56,54,56,51,57,30,48,45
"ENSRNOG00000000096",10,15,9,9,6,10,6,12
"ENSRNOG00000000098",103,106,95,113,73,82,108,100
"ENSRNOG00000000104",61,74,88,84,68,66,58,74
"ENSRNOG00000000105",657,587,369,543,367,503,604,294
"ENSRNOG00000000108",49,56,60,54,28,45,42,32
"ENSRNOG00000000111",36,33,44,53,44,47,34,27
"ENSRNOG00000000112",188,167,154,155,146,150,199,140
"ENSRNOG00000000113",26,32,24,26,21,25,25,25
"ENSRNOG00000000121",27,24,40,29,27,23,33,37
