"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000000007",545.36764813201,-0.0113654671870779,0.0647392089672141,-0.175557708665141,0.860641429820586,0.99988149963805
"ENSRNOG00000000008",4.08202782089566,0.16233611203917,0.353825427129463,0.458802843413997,0.646375752693581,0.99988149963805
"ENSRNOG00000000010",35.5642460716125,0.0629693241414244,0.151947967831951,0.414413730172858,0.678571135260031,0.99988149963805
"ENSRNOG00000000012",18.4646944270823,-0.113456174799922,0.176365452474668,-0.643301583206714,0.520028429186514,0.99988149963805
"ENSRNOG00000000024",65.5963933514497,0.0416888889913472,0.115600334989389,0.360629482563124,0.718376446516692,0.99988149963805
"ENSRNOG00000000033",208.509720438722,-0.00446214634198796,0.0690429404312709,-0.0646285675858464,0.948469738608007,0.99988149963805
"ENSRNOG00000000034",4.8342158363367,0.375609483148529,0.331493058271657,1.13308400817467,0.257178976332419,0.99988149963805
"ENSRNOG00000000036",43.7854300101202,0.0154373651119379,0.12226665439653,0.126259814567855,0.899526264961277,0.99988149963805
"ENSRNOG00000000040",1.48826978622514,-0.758288250481202,0.68713634637412,-1.10354845072966,0.269789063167518,0.99988149963805
"ENSRNOG00000000041",3.46716970580696,-0.0838035639908182,0.384345965452536,-0.21804200258001,0.827396385319531,0.99988149963805
"ENSRNOG00000000042",2.35196939027809,-0.534718770415405,0.581240916754341,-0.919960647989621,0.357593323883473,0.99988149963805
"ENSRNOG00000000043",21.4252643502147,-0.146569061219858,0.180824641511042,-0.810559114040371,0.417618904544316,0.99988149963805
"ENSRNOG00000000044",49.1151142614481,-0.0687914060175033,0.110826165537567,-0.620714482756192,0.534787498622498,0.99988149963805
"ENSRNOG00000000047",22.2375578758187,0.000265806461564688,0.162293498797929,0.00163781336611421,0.998693214585928,0.99988149963805
"ENSRNOG00000000048",174.65582023537,-0.0166416227922004,0.0727637703658407,-0.228707538223073,0.819096235417343,0.99988149963805
"ENSRNOG00000000053",100.699431108943,0.144194328316463,0.100330375112671,1.43719514807488,0.150662551262306,0.99988149963805
"ENSRNOG00000000054",418.768808792774,0.0348284663820946,0.0641819068397938,0.542652409331355,0.58736914695979,0.99988149963805
"ENSRNOG00000000060",521.408234647256,-0.00840850714327393,0.0644551197958352,-0.13045522481237,0.896206276762164,0.99988149963805
"ENSRNOG00000000062",9.96050477440881,-0.10740554701229,0.235104876656157,-0.456841000237401,0.647785333686547,0.99988149963805
"ENSRNOG00000000064",2282.43886708636,0.0425975990417249,0.05520267204894,0.771658281395508,0.440316845755978,0.99988149963805
"ENSRNOG00000000066",9.90217869322925,0.0373806377000465,0.233977376410731,0.159761761044912,0.873068747366026,0.99988149963805
