"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000000007",198.111279564932,-0.0246920618443507,0.127163079584588,-0.194176343676276,0.846037805340394,0.999844126908482
"ENSRNOG00000000008",3.61738219205633,1.27442524539787,0.869024123026273,1.46650157530707,0.142511692352078,0.999844126908482
"ENSRNOG00000000010",4.54304506620458,0.360756088789884,0.727933150691869,0.495589586003881,0.620184001718844,0.999844126908482
"ENSRNOG00000000012",27.7338164800844,-0.466243084456352,0.302058759788475,-1.54355094612337,0.122697156433751,0.999844126908482
"ENSRNOG00000000024",52.3444282222371,0.00769355010553091,0.227253217280961,0.0338545266710971,0.972993154842324,0.999844126908482
"ENSRNOG00000000033",369.138383671065,-0.00570791356438495,0.108077822380901,-0.0528129956603717,0.957880906912611,0.999844126908482
"ENSRNOG00000000034",6.70877445937642,-0.689913069250135,0.598148093392824,-1.15341514396009,0.248740028538673,0.999844126908482
"ENSRNOG00000000036",3.85372774176976,-0.934096323251393,0.788894553532293,-1.18405725970468,0.236390397319444,0.999844126908482
"ENSRNOG00000000040",2.75121624809224,0.680519620279636,0.942122919298292,0.722325724531252,0.470094240641337,0.999844126908482
"ENSRNOG00000000041",2.75592887600118,0.234664937273173,0.911107890260428,0.257559987990113,0.796746512978987,0.999844126908482
"ENSRNOG00000000042",2.58995878505674,0.237564965329657,0.987766963600955,0.240507097406459,0.809937161781764,0.999844126908482
"ENSRNOG00000000043",14.3263121333166,-0.193253572571222,0.405210329113857,-0.476921634731875,0.633417925532546,0.999844126908482
"ENSRNOG00000000044",48.8970209695849,0.00464683016411207,0.243212469650601,0.0191060522957055,0.984756503278483,0.999844126908482
"ENSRNOG00000000047",29.490381046082,-0.154663052587151,0.281715876030255,-0.549003679759037,0.583002924539861,0.999844126908482
"ENSRNOG00000000048",192.283643809925,0.0716686348755327,0.139401945492175,0.514115026318308,0.607171572344409,0.999844126908482
"ENSRNOG00000000053",108.403921451561,-0.0538869895695923,0.170027045703359,-0.316931870142632,0.751295298775341,0.999844126908482
"ENSRNOG00000000054",443.262491097766,-0.0722754699713741,0.105656277742105,-0.684062239517754,0.493935864814097,0.999844126908482
"ENSRNOG00000000060",544.544416223904,-0.073437793869529,0.105642606014938,-0.695153183358095,0.486959308246423,0.999844126908482
"ENSRNOG00000000062",10.9674987187819,0.151130552508983,0.4533335438048,0.333376063991545,0.738850428925791,0.999844126908482
"ENSRNOG00000000064",1793.59909544278,-0.038680605154619,0.0825708297845854,-0.468453632542276,0.639460221939318,0.999844126908482
"ENSRNOG00000000066",7.5817348151996,-0.436581645675036,0.554190538846928,-0.787782567676824,0.430823899435331,0.999844126908482
"ENSRNOG00000000068",130.602803470504,0.0109894900306096,0.155823318378663,0.0705253240975415,0.943775545014616,0.999844126908482
"ENSRNOG00000000073",12.4004327345205,0.323418467238765,0.431218454387633,0.750010728780258,0.45324824310506,0.999844126908482
"ENSRNOG00000000075",48.1178396169666,-0.0327889434102396,0.23655516028801,-0.138610137991995,0.889758231690992,0.999844126908482
"ENSRNOG00000000081",1.68041092414808,0.388796588962938,1.19483675733496,0.325397244917486,0.744880440398375,0.999844126908482
"ENSRNOG00000000082",65.3996334054425,0.27916081254892,0.203082817272839,1.37461561887765,0.1692506437739,0.999844126908482
"ENSRNOG00000000091",13.3140933442249,0.468455867988354,0.413445881960378,1.13305244634955,0.257192229481199,0.999844126908482
"ENSRNOG00000000095",49.0827698068624,0.0988079417635857,0.237371754967143,0.416258209732083,0.677221068960423,0.999844126908482
"ENSRNOG00000000096",9.57398701731601,0.305299615930952,0.498351740929525,0.612618740653955,0.540128463669474,0.999844126908482
"ENSRNOG00000000098",96.2830059181711,-0.0936543846720175,0.172446334347424,-0.543092928164735,0.587065821463704,0.999844126908482
"ENSRNOG00000000104",70.84249191098,-0.0393705207261681,0.196552668527272,-0.200305195656529,0.8412418993466,0.999844126908482
"ENSRNOG00000000105",483.785922403156,0.339549685439696,0.253942976483208,1.33710996910422,0.181186743556547,0.999844126908482
"ENSRNOG00000000108",44.7568068415873,0.082971823967849,0.242530929545515,0.342108217386262,0.732269453592063,0.999844126908482
"ENSRNOG00000000111",39.2983360889662,0.14926745621979,0.261892672063334,0.569956597272383,0.56870713629717,0.999844126908482
"ENSRNOG00000000112",161.094717075388,0.103489032674367,0.150382639181809,0.688171408863566,0.4913448463463,0.999844126908482
"ENSRNOG00000000113",25.2981096142147,0.157846775396633,0.302125371835472,0.522454550697553,0.601353883059484,0.999844126908482
"ENSRNOG00000000121",29.7629618942396,-0.338943155870458,0.288384146063097,-1.17531827077726,0.239867407501875,0.999844126908482
"ENSRNOG00000000122",21.5705700466647,-0.563674223640904,0.335542748290469,-1.67988796215303,0.0929791163710357,0.999844126908482
"ENSRNOG00000000123",11.9831394037211,-0.0590384444720362,0.44793825726137,-0.131800406674323,0.895142164879272,0.999844126908482
"ENSRNOG00000000127",6.37866162283344,0.00186061787493142,0.624098596734505,0.00298128834877503,0.997621279578921,0.999844126908482
"ENSRNOG00000000129",2.92441141009836,0.690519201360473,0.94612853263089,0.729836568230696,0.465490089017527,0.999844126908482
"ENSRNOG00000000130",121.406867414996,-0.224536003824964,0.162653591042453,-1.38045525085493,0.167446518678012,0.999844126908482
"ENSRNOG00000000133",99.9378011967549,-0.0319572453862086,0.177639782361196,-0.179899147372461,0.857231744579655,0.999844126908482
"ENSRNOG00000000137",2.46359684600685,1.66352123170416,1.05968556840087,1.5698253154608,0.116455756344562,0.999844126908482
"ENSRNOG00000000142",17.7995593912308,-0.362701087815236,0.388067006701255,-0.934635208744901,0.34997632762729,0.999844126908482
"ENSRNOG00000000145",6.80627404053951,1.40126077928277,0.634349547932263,2.20897261431075,0.0271765457846996,0.999844126908482
"ENSRNOG00000000150",42.138203843456,0.172012040383606,0.241072578018725,0.713528024619396,0.475519077894931,0.999844126908482
"ENSRNOG00000000155",6.27518837273772,-0.272664541659187,0.617590598799699,-0.441497234882003,0.658853062884813,0.999844126908482
"ENSRNOG00000000157",140.916749807817,0.0665719049833109,0.145569755136952,0.457319619179685,0.647441330063903,0.999844126908482
"ENSRNOG00000000158",166.109272304189,-0.118963458881208,0.157631472358718,-0.754693571664962,0.450432864490889,0.999844126908482
"ENSRNOG00000000161",15.6037610125045,0.634407360921014,0.39097913849295,1.62261179296259,0.104672417929623,0.999844126908482
"ENSRNOG00000000164",93.9951522396592,0.135763327945902,0.186281929160124,0.728805679423704,0.466120536971223,0.999844126908482
"ENSRNOG00000000166",20.4383692491448,0.0240882700418202,0.346686897553626,0.069481339536618,0.944606485645129,0.999844126908482
"ENSRNOG00000000167",1.81833805307718,-0.432301922912306,1.1889879528633,-0.363588143909484,0.716165581493133,0.999844126908482
"ENSRNOG00000000168",122.254072752023,0.0552874574904426,0.151931664707555,0.363896871642014,0.715935020808448,0.999844126908482
"ENSRNOG00000000169",9.32147233273582,0.284119002705341,0.493353524732235,0.575893326919159,0.564687286363484,0.999844126908482
"ENSRNOG00000000170",79.1728925337611,-0.0931713988601521,0.186921140621059,-0.498452976215443,0.618164805290218,0.999844126908482
"ENSRNOG00000000172",3.01678950722561,1.32034888806178,0.976947246473382,1.35150479499075,0.176533784953629,0.999844126908482
"ENSRNOG00000000175",37.7396557530082,0.03148774495284,0.252587086988724,0.124660944976359,0.900791977535426,0.999844126908482
"ENSRNOG00000000177",7.99588113464646,-0.420343850093823,0.552522054811135,-0.76077297989038,0.446792675893194,0.999844126908482
"ENSRNOG00000000185",23.6120890604689,-0.0858979358250065,0.316619407402971,-0.271297127771077,0.786162515369185,0.999844126908482
"ENSRNOG00000000186",103.834682739343,0.210271898404833,0.184399785297485,1.14030446437673,0.254159478535287,0.999844126908482
"ENSRNOG00000000190",6.07090857506742,0.062841895805784,0.624092337278146,0.100693266127664,0.919793957056926,0.999844126908482
"ENSRNOG00000000195",3.31639141776123,0.17817902516923,0.839370994784548,0.212276843346207,0.831891060091713,0.999844126908482
"ENSRNOG00000000196",49.3254059114595,0.0279041867972915,0.221241617454081,0.126125396832642,0.899632664233573,0.999844126908482
"ENSRNOG00000000201",48.7868161680685,-0.0331468668845266,0.227402211043893,-0.1457631688468,0.884108352295462,0.999844126908482
"ENSRNOG00000000204",64.6619941030974,0.215269588247632,0.218421871373659,0.985567914484924,0.324345189379849,0.999844126908482
"ENSRNOG00000000219",8.19271708041943,0.0842473249384671,0.529778871182433,0.159023565342333,0.87365030761942,0.999844126908482
"ENSRNOG00000000221",26.1116410391371,-0.148822751060503,0.326642175780885,-0.455614008523918,0.648667567857767,0.999844126908482
"ENSRNOG00000000230",90.1060887049187,0.202002517574428,0.172067722835337,1.17397100540313,0.240406639462189,0.999844126908482
"ENSRNOG00000000231",393.372797789057,-0.222786721755784,0.112659928339839,-1.97751520916778,0.0479834230668397,0.999844126908482
"ENSRNOG00000000233",62.4578774076687,-0.00706269150182032,0.216452018329452,-0.032629363109336,0.973970153917359,0.999844126908482
"ENSRNOG00000000236",41.9221210953314,0.168165456982797,0.242643795342309,0.693054840926629,0.488275136183103,0.999844126908482
"ENSRNOG00000000237",2.47051036485773,-0.795018548858802,0.950544662243422,-0.836382108529697,0.40293997451995,0.999844126908482
"ENSRNOG00000000244",17.0783736994964,0.318035496864404,0.368339216099734,0.86343099774174,0.38790054257331,0.999844126908482
"ENSRNOG00000000245",12.5403775540902,-0.264210361467035,0.438604401057115,-0.602388760418822,0.546915389846767,0.999844126908482
"ENSRNOG00000000246",188.602435172758,-0.024734509363153,0.137981066273931,-0.179260169754364,0.857733420147373,0.999844126908482
"ENSRNOG00000000247",43.12613839838,-0.145135929421997,0.241334287975591,-0.601389593826289,0.547580528057066,0.999844126908482
"ENSRNOG00000000248",446.159707820459,-0.000445615713318221,0.107004082014332,-0.00416447396145631,0.996677240126642,0.999844126908482
"ENSRNOG00000000249",31.616616025879,-0.200781053354252,0.276730431516312,-0.725547429872805,0.468116258536284,0.999844126908482
"ENSRNOG00000000250",39.0731399561766,-0.327383515652176,0.269141679436359,-1.21639842754117,0.223833182691642,0.999844126908482
"ENSRNOG00000000257",153.322975910644,-0.0911673922482263,0.149754665631967,-0.608778309934442,0.542671392359724,0.999844126908482
"ENSRNOG00000000258",40.4533594810873,0.143376788204903,0.242262490967722,0.591824131057934,0.553968362422006,0.999844126908482
"ENSRNOG00000000262",66.0625451289811,-0.428881183810826,0.203007035692486,-2.11264197000784,0.0346314235980206,0.999844126908482
"ENSRNOG00000000264",52.3485347464131,0.0123261925155585,0.217850381848223,0.0565810002763557,0.954878969877984,0.999844126908482
"ENSRNOG00000000274",63.7602940787715,-0.0121999053729545,0.200818976310864,-0.0607507596994679,0.951557705907406,0.999844126908482
"ENSRNOG00000000275",13.6613244836255,-0.0984724361383467,0.438311499213296,-0.224663136411183,0.822241344380377,0.999844126908482
"ENSRNOG00000000277",10.6711050106179,0.269554252157335,0.506894865802375,0.531775463400387,0.594881518730642,0.999844126908482
"ENSRNOG00000000279",38.0640021268249,0.0751758357568238,0.250527048904208,0.300070735218568,0.764123201093643,0.999844126908482
"ENSRNOG00000000281",104.358420703474,-0.119657864090367,0.163863480494366,-0.730228991410204,0.465250224198256,0.999844126908482
"ENSRNOG00000000283",18.368615143789,0.0276719919837553,0.35224361284123,0.0785592441564815,0.937383205756655,0.999844126908482
"ENSRNOG00000000288",8.07653032842691,-0.262603221629317,0.552314470176951,-0.475459608264806,0.634459416479098,0.999844126908482
"ENSRNOG00000000299",7.4102117232091,0.277555805647175,0.653588955296007,0.424664161470525,0.671081513035408,0.999844126908482
"ENSRNOG00000000302",91.6243389686377,-0.239632876517354,0.173274410760309,-1.38296748761616,0.166674835165778,0.999844126908482
"ENSRNOG00000000303",17.7345946693534,-0.0687748515381185,0.372066811171678,-0.184845434940943,0.85335026993456,0.999844126908482
"ENSRNOG00000000304",81.6025155451752,-0.0855862495732798,0.189909375176661,-0.450668901909998,0.652228198846646,0.999844126908482
"ENSRNOG00000000306",223.781653863772,-0.162563930463379,0.123659328169849,-1.31461114069853,0.188640624013754,0.999844126908482
"ENSRNOG00000000307",64.3610301898555,-0.190606757484963,0.195335363018054,-0.975792373382722,0.32916736491798,0.999844126908482
"ENSRNOG00000000308",46.1287113787476,-0.141175518912789,0.245600372442281,-0.574818016393548,0.565414380750947,0.999844126908482
"ENSRNOG00000000312",97.9051599245061,-0.0688658667561026,0.176926621690353,-0.389234057024091,0.697103012120335,0.999844126908482
"ENSRNOG00000000314",170.14567168595,0.273409712576181,0.139222260460392,1.96383618303601,0.0495490925222071,0.999844126908482
"ENSRNOG00000000316",78.545639577544,0.170633735577117,0.187923555465051,0.907995462063565,0.363880619213834,0.999844126908482
"ENSRNOG00000000321",215.026086655056,0.0936316224438499,0.134300486530956,0.697180068832201,0.485690110583721,0.999844126908482
"ENSRNOG00000000322",40.1838239882682,0.119213566881514,0.245400413026514,0.485792038453634,0.62711461966194,0.999844126908482
"ENSRNOG00000000323",2.79558855487932,-1.41987665994267,0.952870981311845,-1.49010378927469,0.136196948017577,0.999844126908482
