"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000000007",439.016054372633,-0.00821462527122726,0.0577573835550407,-0.142226409258983,0.886901172257873,0.997354014716559
"ENSRNOG00000000008",5.3081556975623,0.114157090261305,0.321690861705262,0.354865816380875,0.722690118510869,0.99688117638436
"ENSRNOG00000000010",80.4111279362376,-0.272721966815078,0.242684566442801,-1.12377136631536,0.261110031692288,0.99688117638436
"ENSRNOG00000000012",13.0606135003296,-0.179791897031643,0.170721520413251,-1.05312966166442,0.292281570089054,0.99688117638436
"ENSRNOG00000000017",1.25120543312327,0.408590069665578,0.553618517529402,0.738035410175525,0.460492931495738,0.99688117638436
"ENSRNOG00000000024",24.2274744337828,-0.0335320424160276,0.123188977654031,-0.272200021906184,0.78546822499361,0.99688117638436
"ENSRNOG00000000033",184.684614479771,0.0977845441996423,0.0757871229832415,1.2902527546964,0.196962914839231,0.99688117638436
"ENSRNOG00000000034",3.26195344922294,0.260890948237976,0.338583074277444,0.770537478268024,0.440981132195592,0.99688117638436
"ENSRNOG00000000036",16.9779565612766,0.163522695960149,0.171068912214938,0.955887857372316,0.339128894333715,0.99688117638436
"ENSRNOG00000000041",3.25783944403817,-0.0924469638693678,0.325108587855547,-0.284357188098778,0.776136664269405,0.99688117638436
"ENSRNOG00000000042",5.1560781091464,-0.0119218706459249,0.281684557624102,-0.0423234796627871,0.966240827989366,0.998919530753804
"ENSRNOG00000000043",23.3212800192527,0.0937431449482828,0.120344701013497,0.778955318836756,0.436006035499392,0.99688117638436
"ENSRNOG00000000044",39.3969241631605,-0.182095867175321,0.097633080616807,-1.86510418420593,0.0621668021936076,0.986661199380186
"ENSRNOG00000000047",10.874651158161,0.0504471351197985,0.182183552663195,0.276902796011781,0.781854745607408,0.99688117638436
"ENSRNOG00000000048",124.155504777284,0.0457894843874344,0.0605227904104556,0.756565982448887,0.449309927917508,0.99688117638436
"ENSRNOG00000000053",157.248458446056,-0.127477778584458,0.0701409359529167,-1.81745191809287,0.0691479442252822,0.992280315678233
"ENSRNOG00000000054",319.058441291186,-0.0089036157821267,0.0671268397851872,-0.132638685369655,0.894479136209595,0.997354014716559
"ENSRNOG00000000060",221.209016672598,0.103953034211646,0.0842290561963596,1.23417071146215,0.217139298733747,0.99688117638436
"ENSRNOG00000000062",13.1623186960213,0.107592384185871,0.168238374566447,0.639523440850746,0.522482469418494,0.99688117638436
"ENSRNOG00000000064",1845.47204999965,0.0319811863033547,0.0334319598008697,0.956605191375073,0.338766567556671,0.99688117638436
"ENSRNOG00000000066",7.05369564067173,0.014314389924426,0.222011991278374,0.0644757512511007,0.948591414626897,0.997612524067865
"ENSRNOG00000000068",53.3397639757349,-0.00839278529788519,0.0909998084118588,-0.0922286040416703,0.926516412153245,0.997561617281416
"ENSRNOG00000000073",21.495553536383,0.114869976981493,0.128421204067967,0.894478274169564,0.371066048925774,0.99688117638436
"ENSRNOG00000000075",55.972875603297,-0.06833737013209,0.0876369853894163,-0.779777736858837,0.435521712832175,0.99688117638436
"ENSRNOG00000000081",2.8653729223023,-0.101387831805639,0.331038559581354,-0.306271970050434,0.759397579074971,0.99688117638436
"ENSRNOG00000000082",49.5561794480435,0.0894158232052848,0.0895677987402404,0.998303234677048,0.318132339568402,0.99688117638436
"ENSRNOG00000000091",26.8762373678661,0.0383033116427734,0.114849948207222,0.333507435054853,0.738751278037895,0.99688117638436
"ENSRNOG00000000095",58.3418855597119,-0.00760992393880081,0.100906300625283,-0.0754157460103542,0.939883931382147,0.997612524067865
"ENSRNOG00000000096",13.203437663978,0.107671091018856,0.164508591860521,0.65450132300777,0.512788875060482,0.99688117638436
"ENSRNOG00000000098",73.6458826143203,0.00923812649462575,0.0881148508588694,0.104841878577564,0.916501278845147,0.997561617281416
"ENSRNOG00000000104",46.2051802319791,1.61599023459758e-05,0.0990734725825652,0.000163110284970667,0.999869856822491,0.99995795436394
"ENSRNOG00000000105",102.266655432263,-0.174665131744796,0.0710253376699411,-2.45919466875997,0.0139249089050059,0.87755569171268
"ENSRNOG00000000108",58.1839859309683,0.053468376886376,0.0801728863037212,0.666913458545328,0.504827413718816,0.99688117638436
"ENSRNOG00000000111",130.514584275426,0.0822198159555045,0.0883270801608916,0.930856265210369,0.351927920208248,0.99688117638436
"ENSRNOG00000000112",109.203920896613,-0.0787153049382932,0.0634846699909404,-1.2399104374257,0.21500852290663,0.99688117638436
"ENSRNOG00000000113",24.6557804697489,-0.276622278297193,0.146425442159011,-1.88916812692151,0.0588693040948728,0.978401341179299
"ENSRNOG00000000121",33.2023190778627,-0.0172959509489555,0.107441717610415,-0.160979844083196,0.872109275674317,0.99688117638436
"ENSRNOG00000000122",26.9138312203927,0.0699656923085655,0.11392533281372,0.614136387233267,0.539125204969988,0.99688117638436
"ENSRNOG00000000123",18.2947395911806,0.168358627534191,0.131022891152593,1.28495582758982,0.198807720377131,0.99688117638436
"ENSRNOG00000000127",4.87113508832623,-0.550154889526564,0.339147486163856,-1.6221700350766,0.104766945778143,0.99688117638436
"ENSRNOG00000000129",1.47622040536473,0.00896473258475497,0.470242509924299,0.0190640624689549,0.984790000211948,0.999550712358338
"ENSRNOG00000000130",28.1590316775904,0.0245716111900288,0.112169785528539,0.219057307404561,0.826605406811513,0.99688117638436
"ENSRNOG00000000133",123.155574611329,-0.0115268978278204,0.0677022071467722,-0.170258818930838,0.864806596080138,0.99688117638436
"ENSRNOG00000000137",4.32999466451186,-0.23268820140207,0.305608151892676,-0.761393961388132,0.446421793169808,0.99688117638436
"ENSRNOG00000000142",35.5404363205555,-0.0741620420222297,0.102895644828859,-0.72075005842647,0.471063307414499,0.99688117638436
"ENSRNOG00000000145",14.0263050163178,-0.094721011393697,0.161767944403825,-0.585536348024815,0.55818713365359,0.99688117638436
"ENSRNOG00000000150",37.3845223331202,-0.115012184271733,0.108451366387605,-1.06049548385292,0.288919243462297,0.99688117638436
"ENSRNOG00000000151",2.41743954097454,0.0809498282331333,0.398155874206386,0.203311902391204,0.838891253044548,0.99688117638436
"ENSRNOG00000000155",4.56752764032076,-0.15367682914819,0.287239827632476,-0.535012259319483,0.59264138009246,0.99688117638436
