"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000000001",1.05366986967969,-0.855888434250683,1.12240964292425,-0.76254551058632,0.445734491623088,NA
"ENSRNOG00000000007",221.345968622566,-0.0286525320717298,0.105486854792969,-0.271621825562663,0.785912815818657,0.975462149239319
"ENSRNOG00000000008",4.19325683609541,0.0725698114982763,0.581474437678981,0.124803098461124,0.900679434356531,NA
"ENSRNOG00000000010",15.56119851806,0.339455385816481,0.294243801333625,1.15365348149371,0.248642262641136,0.810261066633375
"ENSRNOG00000000012",16.0667834306934,0.132339182712855,0.281439792527537,0.470222002099815,0.638196416296251,0.952696004393001
"ENSRNOG00000000024",112.356528340578,-0.245730608135624,0.118315452865019,-2.0769105149432,0.0378098190896575,0.4769781439338
"ENSRNOG00000000033",254.970823958777,-0.148314114766732,0.10132130363064,-1.46379990635929,0.14324862804946,0.716761888512354
"ENSRNOG00000000034",3.68596896352143,0.695075967464421,0.609123017433194,1.14110934502759,0.253824422917633,NA
"ENSRNOG00000000036",39.0478365404588,-0.401751587717593,0.187820046184891,-2.13902400663935,0.0324337241680538,0.454129372671931
"ENSRNOG00000000041",3.05704350225292,0.575356021119209,0.700857736757209,0.820931254581447,0.411685427065984,NA
"ENSRNOG00000000042",1.99580637374939,-0.0113340614390083,0.815503386464747,-0.013898239574629,0.988911166210701,NA
"ENSRNOG00000000043",11.5484761542927,0.305900523269102,0.340857468563492,0.897444097552821,0.369481990707617,NA
"ENSRNOG00000000044",37.2040929955045,0.0790110103506635,0.192769122789869,0.409873786876078,0.681898535258792,0.960367222721231
"ENSRNOG00000000047",5.41148202533384,-0.10262571327733,0.479758933559834,-0.213911000084651,0.830616461949438,NA
"ENSRNOG00000000048",138.628192316054,-0.185522741560041,0.106207364005594,-1.74679734590033,0.0806724971491961,0.62271699315804
"ENSRNOG00000000053",157.87130123814,0.167322662673999,0.106932113864331,1.56475596177111,0.117640141242043,0.680511630438421
"ENSRNOG00000000054",258.349150897774,0.320544824268418,0.107349781459403,2.9859848796212,0.00282666619228199,0.183486680615782
"ENSRNOG00000000060",391.089536672067,0.0287727719454906,0.0846248991791893,0.340003618610707,0.73385380284681,0.965374110438256
"ENSRNOG00000000062",14.8802743628414,0.23041068738903,0.301251270879088,0.76484552817541,0.44436353343509,0.896909287367493
"ENSRNOG00000000064",1631.5303777765,0.0856677088462575,0.0692570431154376,1.23695302300831,0.216104523407603,0.798190141766706
"ENSRNOG00000000066",8.1263245891673,-0.225830391855493,0.392588029556468,-0.575235042470929,0.565132346183434,NA
"ENSRNOG00000000068",109.481157575379,0.0716972109268178,0.128273309291534,0.55894099343666,0.576201991251866,0.937486832217315
"ENSRNOG00000000073",14.0342235934447,0.182286125957618,0.319889576987241,0.569840779666567,0.56878569396518,0.934657328923892
"ENSRNOG00000000075",48.0616452963825,-0.129479099430964,0.171708273718271,-0.75406441767277,0.450810542065286,0.899086273865162
"ENSRNOG00000000081",3.87523796849385,0.897332882594369,0.637320698395772,1.40797699628003,0.15913788174103,NA
"ENSRNOG00000000082",41.6041882382479,0.211560950377891,0.179188416678271,1.18066197748565,0.237737031918005,0.804546036637841
"ENSRNOG00000000091",25.7364712695626,-0.783878809023631,0.240788681479794,-3.25546368793672,0.00113207371827696,0.121660188924164
"ENSRNOG00000000095",42.8776487815775,-0.0683993074945903,0.179131489600213,-0.381838545792503,0.702581125747997,0.962943059841578
"ENSRNOG00000000096",11.6732537630862,-0.0806262471710796,0.328624248351293,-0.24534478991,0.806189473940001,NA
"ENSRNOG00000000098",103.796350384178,0.0248694263990142,0.121665840122124,0.204407633022146,0.838034965822552,0.981866946428602
"ENSRNOG00000000104",31.41827683624,0.403540463126173,0.225905026463728,1.78632795136573,0.0740461737360849,0.60692762065713
"ENSRNOG00000000105",151.407924456325,-0.196169934614379,0.12059874730429,-1.62663326941043,0.103815009009842,0.663581847749997
"ENSRNOG00000000108",34.2787013530548,0.150673150999898,0.193690549713261,0.777906569127681,0.436624095315382,0.894262637747732
"ENSRNOG00000000111",57.5957635853962,0.0211223226777794,0.156964590506543,0.134567437213802,0.892953888717247,0.989701021401921
"ENSRNOG00000000112",98.7246632613706,-0.0398152371534928,0.129133866309801,-0.308325292901657,0.757834821952051,0.968210674566848
"ENSRNOG00000000113",22.8996788111238,0.84944800731614,0.284353275027695,2.98729813199235,0.00281455103253854,0.183486680615782
"ENSRNOG00000000121",25.179866416899,0.254120966655939,0.244082185283421,1.04112869343931,0.297815824214255,0.84232600584753
"ENSRNOG00000000122",20.1999837037366,0.0702610913162459,0.268095680376235,0.262074686237556,0.793263862337754,0.977454565624575
"ENSRNOG00000000123",20.5682794204046,0.111537697769685,0.25988612820874,0.429179112169074,0.667792882662297,0.958009669992271
"ENSRNOG00000000127",3.30427058647829,1.04091600167146,0.701481790313322,1.48388171445837,0.137840303704482,NA
"ENSRNOG00000000129",5.38930911407394,-0.167872238344641,0.480780007477022,-0.349166428998535,0.726964367784996,NA
"ENSRNOG00000000130",83.8175530419091,0.0543170619337017,0.140974920916327,0.385295920583921,0.70001818358327,0.962663592044374
"ENSRNOG00000000133",73.7283419004162,0.194862823028686,0.151599794011699,1.28537656860964,0.198660725157992,0.782591238789884
"ENSRNOG00000000137",4.19614337869125,-0.897984872719466,0.563731567249536,-1.59292990651697,0.111175916329107,NA
"ENSRNOG00000000142",29.5561951755804,0.127220851294149,0.232992418843159,0.546030003576164,0.585045313134879,0.942858870339905
"ENSRNOG00000000145",7.60282222455303,-0.0160239565505417,0.407416741892463,-0.0393306285748346,0.968626787430347,NA
"ENSRNOG00000000150",45.484077185545,-0.177886683232227,0.202366975015012,-0.879030203515326,0.379384899569259,0.869610565890924
"ENSRNOG00000000151",1.13665304599117,1.75794323735552,1.21361646986803,1.44851629901387,0.147472710984655,NA
"ENSRNOG00000000155",3.90887426922763,0.491691364477763,0.564281856963177,0.871357741544133,0.38355885186437,NA
"ENSRNOG00000000156",2.41258400080872,0.31827298766015,0.763056497503642,0.417102781643808,0.676603230402193,NA
"ENSRNOG00000000157",103.972770733419,-0.123923145351179,0.123858315425093,-1.0005234200535,0.317057269496134,0.848997206690645
"ENSRNOG00000000158",56.1680942591115,0.0603852079851292,0.179259296966343,0.336859560463784,0.736222771472077,0.965374110438256
"ENSRNOG00000000161",19.2240213357808,0.200218030903184,0.279407058600215,0.716581864131295,0.473632138165471,0.906340561770806
"ENSRNOG00000000164",87.316096210159,-0.0856899582681202,0.138117904948928,-0.620411656981086,0.53498679977773,0.925144228853425
"ENSRNOG00000000166",16.1994383666382,0.261949941663988,0.296672890186069,0.882958808604645,0.377258527513496,0.868150562696893
"ENSRNOG00000000167",35.5797841509516,0.657827102145688,0.272463249002776,2.41437002808032,0.015762445484729,0.352814975421149
"ENSRNOG00000000168",99.7049350346786,-0.00220297323719134,0.12005651855795,-0.0183494679310394,0.985360064395128,0.998657129960837
"ENSRNOG00000000169",11.658651734344,0.256361678832697,0.335910490898509,0.763184496402505,0.445353373488842,NA
"ENSRNOG00000000170",61.7647350295542,0.0835233166543474,0.151985687024852,0.54954725204282,0.582629946492148,0.941553357138188
"ENSRNOG00000000172",1.60097222177777,0.142889664074914,0.938124834579604,0.152314125804958,0.87893918412968,NA
"ENSRNOG00000000175",27.9338138333886,0.41865431155355,0.237807377302877,1.7604765516603,0.0783270398220727,0.619244965040443
"ENSRNOG00000000177",1.85692651547634,-0.196677578998806,0.895093918052904,-0.219728427410878,0.826082663793316,NA
"ENSRNOG00000000185",14.4756892549157,0.499916315285397,0.327185922019541,1.52792733929285,0.126530579425282,0.689263855665048
"ENSRNOG00000000186",70.8705481497067,0.00705076095502261,0.139835860718174,0.0504216938259689,0.95978634919873,0.994968228236883
"ENSRNOG00000000190",8.9413697182403,0.0326644381842386,0.384965733602855,0.0848502485624772,0.932380444969422,NA
"ENSRNOG00000000195",3.43583919521399,0.83332934189146,0.686231243064952,1.21435645828295,0.224611634829749,NA
"ENSRNOG00000000196",48.595183412932,0.0165016001307519,0.181350239810393,0.0909929876464722,0.927498162989532,0.990835268012763
"ENSRNOG00000000201",35.1851737219633,0.174895650433141,0.202708003074153,0.862795981316841,0.388249649082548,0.873201189745358
"ENSRNOG00000000204",74.9920555974557,0.00553973647821745,0.157260634330085,0.0352264665713464,0.971899158052191,0.996038613741
"ENSRNOG00000000219",7.61495122618969,0.263056555556506,0.447578825648006,0.58773235122473,0.556711957267705,NA
"ENSRNOG00000000221",31.6249250154127,-0.196717029536335,0.210593189621235,-0.934109169865096,0.350247582285492,0.859359364755271
"ENSRNOG00000000230",72.7914009700424,-0.0327014582132491,0.163789261861138,-0.199655690743474,0.841749869626685,0.982194125467103
