"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000000001",1.05366986967969,-0.2683903523229,0.593756207159119,-0.452021131041372,0.651253759630256,0.999884006284528
"ENSRNOG00000000007",221.345968622566,-0.0357069977363988,0.0544482657478344,-0.6557967870229,0.51195488399613,0.999884006284528
"ENSRNOG00000000008",4.19325683609541,0.492438887207811,0.275810314681848,1.78542592859824,0.0741922560504805,0.999884006284528
"ENSRNOG00000000010",15.56119851806,-0.28176120349491,0.16330652465803,-1.72535178300395,0.084464095121123,0.999884006284528
"ENSRNOG00000000012",16.0667834306934,-0.159673522857469,0.150890639496617,-1.05820694636959,0.28996110508575,0.999884006284528
"ENSRNOG00000000024",112.356528340578,-0.0617800471169563,0.0611439063509112,-1.01040399287534,0.312301775657045,0.999884006284528
"ENSRNOG00000000033",254.970823958777,0.0516959302224891,0.0517476417315189,0.999000698248278,0.31779435303356,0.999884006284528
"ENSRNOG00000000034",3.68596896352143,0.158585570610329,0.304999212069724,0.519954033763456,0.603095613255366,0.999884006284528
"ENSRNOG00000000036",39.0478365404588,0.00691474018069952,0.0953496576203939,0.0725198218144472,0.942188231472821,0.999884006284528
"ENSRNOG00000000041",3.05704350225292,-0.294667262487078,0.390269179098237,-0.755035955357638,0.450227408828417,0.999884006284528
"ENSRNOG00000000042",1.99580637374939,0.342220676672662,0.393724594410695,0.86918795912376,0.384744332246451,0.999884006284528
"ENSRNOG00000000043",11.5484761542927,-0.0341235099042086,0.177739504116642,-0.191986075767461,0.847753112467227,0.999884006284528
"ENSRNOG00000000044",37.2040929955045,-0.0258268134984287,0.0998318884343025,-0.258703044723279,0.79586437017291,0.999884006284528
"ENSRNOG00000000047",5.41148202533384,0.16628926997229,0.237666980083517,0.699673425033025,0.484131276391833,0.999884006284528
"ENSRNOG00000000048",138.628192316054,0.00773571420141829,0.0543095265235615,0.14243751873002,0.886734428830066,0.999884006284528
"ENSRNOG00000000053",157.87130123814,-0.0105828316571498,0.0552389887861769,-0.191582646418721,0.848069136857988,0.999884006284528
"ENSRNOG00000000054",258.349150897774,0.0842159766590392,0.0549590633570136,1.53234010033928,0.125438530459756,0.999884006284528
"ENSRNOG00000000060",391.089536672067,0.0147560392877723,0.0434786462528494,0.339385895364792,0.734319042615524,0.999884006284528
"ENSRNOG00000000062",14.8802743628414,-0.1702797667339,0.161938256810732,-1.05151043420776,0.293024219704991,0.999884006284528
"ENSRNOG00000000064",1631.5303777765,0.0140206117321851,0.0356401621384453,0.393393601233394,0.694028794969959,0.999884006284528
"ENSRNOG00000000066",8.1263245891673,0.0274675823167044,0.199379107976211,0.137765599392599,0.890425672770972,0.999884006284528
"ENSRNOG00000000068",109.481157575379,0.0224024451058593,0.0658158796086293,0.340380547051475,0.733569966260381,0.999884006284528
"ENSRNOG00000000073",14.0342235934447,-0.0303034908117339,0.166162679199245,-0.182372425371145,0.85529046426764,0.999884006284528
"ENSRNOG00000000075",48.0616452963825,-0.00547217820149976,0.0881040401282207,-0.0621104116625744,0.950474905700646,0.999884006284528
"ENSRNOG00000000081",3.87523796849385,-0.0863960524243969,0.337577544416006,-0.255929500802129,0.798005274692268,0.999884006284528
"ENSRNOG00000000082",41.6041882382479,-0.0861524715159417,0.0943910059684233,-0.912719073518109,0.361390309822416,0.999884006284528
"ENSRNOG00000000091",25.7364712695626,0.0281445116568805,0.120307555884446,0.233938022013455,0.815033094778751,0.999884006284528
"ENSRNOG00000000095",42.8776487815775,-0.0166831909420071,0.0922637768098196,-0.18082059415794,0.85650839776218,0.999884006284528
"ENSRNOG00000000096",11.6732537630862,-0.0228110017298587,0.169473086020776,-0.134599553625065,0.892928494551758,0.999884006284528
"ENSRNOG00000000098",103.796350384178,-0.0164182639585145,0.0627810930773647,-0.261516057681289,0.793694568026535,0.999884006284528
